Country,ISO 3166-1 alpha-3,Year,Total,Coal,Oil,Gas,Cement,Flaring,Other,Per Capita
United Kingdom,GBR,1750,9.350528,9.350528,0,0,,0,,
United Kingdom,GBR,1751,9.350528,9.350528,0,0,,0,,
United Kingdom,GBR,1752,9.354192,9.354192,0,0,,0,,
United Kingdom,GBR,1753,9.354192,9.354192,0,0,,0,,
United Kingdom,GBR,1754,9.357856,9.357856,0,0,,0,,
United Kingdom,GBR,1755,9.36152,9.36152,0,0,,0,,
United Kingdom,GBR,1756,10.006384,10.006384,0,0,,0,,
United Kingdom,GBR,1757,10.010048,10.010048,0,0,,0,,
United Kingdom,GBR,1758,10.013712,10.013712,0,0,,0,,
United Kingdom,GBR,1759,10.017376,10.017376,0,0,,0,,
United Kingdom,GBR,1760,10.017376,10.017376,0,0,,0,,
United Kingdom,GBR,1761,10.97368,10.97368,0,0,,0,,
United Kingdom,GBR,1762,10.977344,10.977344,0,0,,0,,
United Kingdom,GBR,1763,10.981008,10.981008,0,0,,0,,
United Kingdom,GBR,1764,10.984672,10.984672,0,0,,0,,
United Kingdom,GBR,1765,10.988336,10.988336,0,0,,0,,
United Kingdom,GBR,1766,12.259744,12.259744,0,0,,0,,
United Kingdom,GBR,1767,12.263408,12.263408,0,0,,0,,
United Kingdom,GBR,1768,12.267072,12.267072,0,0,,0,,
United Kingdom,GBR,1769,12.270736,12.270736,0,0,,0,,
United Kingdom,GBR,1770,12.2744,12.2744,0,0,,0,,
United Kingdom,GBR,1771,13.61176,13.61176,0,0,,0,,
United Kingdom,GBR,1772,13.615424,13.615424,0,0,,0,,
United Kingdom,GBR,1773,13.619088,13.619088,0,0,,0,,
United Kingdom,GBR,1774,13.622752,13.622752,0,0,,0,,
United Kingdom,GBR,1775,13.626416,13.626416,0,0,,0,,
United Kingdom,GBR,1776,15.037056,15.037056,0,0,,0,,
United Kingdom,GBR,1777,15.04072,15.04072,0,0,,0,,
United Kingdom,GBR,1778,15.044384,15.044384,0,0,,0,,
United Kingdom,GBR,1779,15.048048,15.048048,0,0,,0,,
United Kingdom,GBR,1780,15.055376,15.055376,0,0,,0,,
